,user_id,position,career,updated_at,want_to_be,desired_role,benefits_in_companies,name,type,my_languages_,level_languages_,my_languages_1,level_languages_1,my_languages_2,level_languages_2,benefits_in_companies_1,benefits_in_companies_2,benefits_in_companies_3
35,767683,none,especialista gerencia de proyectos,2023-09-01 13:23:09,employment,bases de datos,distraction_spaces,aplicación de pruebas,my_knowledge,not,basic,not,basic,not,basic,child_care,salary_increase,formation
36,95680,gerente general,especialización en gerencia de proyectos,2023-09-01 13:05:26,freelancer,analista de datos / gobierno y gestión ti,study_opportunities,educación,my_knowledge,EN,intermediate,not,basic,not,basic,flexible_schedules,scholarships,flexible_schedule
37,117360,desempleado,ing sistemas,2023-09-01 13:11:05,employment,investigadora,study_opportunities,atención,my_knowledge,EN,advanced,not,basic,not,basic,"[""a""]","[""a""]",personal_recognition
38,1884553,analista de datos,física,2023-09-01 13:23:44,employment,"analista de datos, científico de datos",laboral_training,macros,my_knowledge,EN,advanced,not,basic,not,basic,flexible_schedules,study_opportunities,salary_increase
39,1958063,empleado,"desarrollo de software, ofimática, administración",2023-09-01 13:24:43,employment,diseño de experiencias o servicios,flexible_schedule,mysql,my_knowledge,ES,intermediate,not,basic,not,basic,flexible_schedule,free_time,"[""a""]"
40,179315,coordinador,negocios internacionales,2023-09-01 13:22:33,employment,data engineer / data scientist,events,microsoft office,digital_tools,ES,basic,EN,basic,FR,basic,formation,child_care,personal_recognition
41,1962701,empleado,tecnologo en informatica,2023-05-06 10:03:08,employment,"desarrollador backend, fullstack, lider tecnico",flexible_schedule,tecnología,my_knowledge,EN,intermediate,not,basic,not,basic,pet_care,free_time,travels
42,1879921,none,ingeniería de sistemas,2023-09-01 13:23:34,employment,desarrollador de software,distraction_spaces,manejo de personal,my_knowledge,not,basic,not,basic,not,basic,"[""a""]",child_care,formation
43,94088,coordinador de sistemas y diseño grafico,especializacion  automatizacion y control procesos,2023-09-01 13:04:57,employment,"backend, frontend fullstack",study_opportunities,ingeniería,my_knowledge,DE,intermediate,ES,advanced,EN,basic,study_opportunities,"[""a""]",scholarships
44,1959947,desempleado,análisis y desarrollo de sistemas de información,2023-09-01 13:34:26,employment,"ingeniero de datos, ciencia de datos",flexible_schedule,auxiliar,my_knowledge,EN,intermediate,not,basic,not,basic,distraction_spaces,salary_increase,distraction_spaces
45,1884643,analista de base de datos,desarrollo de aplicativos web,2023-09-01 13:23:45,employment,desarrollador backend/frontend,laboral_training,macros,my_knowledge,ES,advanced,not,basic,not,basic,formation,home_office,study_opportunities
46,40546,investigador,ingeniería electrónica,2023-09-01 12:25:55,entrepreneur,"soporte y asesor informatico, diseñador web.",flexible_schedules,desarrollo electrónico,my_knowledge,ES,advanced,EN,intermediate,FR,basic,study_opportunities,home_office,laboral_training
47,182575,freelance,universitario,2023-09-01 13:22:38,entrepreneur,desarrollador backend,bonuses,power bi,my_knowledge,EN,basic,not,basic,not,basic,study_opportunities,formation,salary_increase
48,1954423,lider de comunicaciones,ingenieria de diseño de productos,2023-09-01 13:24:13,employment,qa tester,study_opportunities,marketing,my_knowledge,EN,advanced,not,basic,not,basic,distraction_spaces,child_care,formation
